video_id,video_length_sec,original_bitrate_kbps,target_resolution,transcoding_time_sec,vmaf_score
vid0017,5.172,10177.6,288,2.45,51.99
vid0017,5.172,10177.6,360,2.81,67.78
vid0017,5.172,10177.6,480,4.24,82.29
vid0017,5.172,10177.6,720,6.42,93.94
vid0017,5.172,10177.6,1080,8.02,100.0
vid0018,7.14,9999.5,144,1.3,12.27
vid0018,7.14,9999.5,240,2.84,42.16
vid0018,7.14,9999.5,288,3.33,56.12
vid0018,7.14,9999.5,360,3.83,70.08
vid0018,7.14,9999.5,480,5.75,83.09
vid0018,7.14,9999.5,720,8.85,93.54
vid0018,7.14,9999.5,1080,11.06,100.0
vid0019,9.509,9949.1,144,1.6,11.05
vid0019,9.509,9949.1,240,3.51,41.08
vid0019,9.509,9949.1,288,4.07,54.58
vid0019,9.509,9949.1,360,4.63,68.08
vid0019,9.509,9949.1,480,6.89,81.17
vid0019,9.509,9949.1,720,10.24,91.73
vid0019,9.509,9949.1,1080,12.8,100.0
vid0020,9.209,12111.9,144,1.68,13.11
vid0020,9.209,12111.9,240,3.6,41.48
vid0020,9.209,12111.9,288,4.25,55.99
vid0020,9.209,12111.9,360,4.89,70.49
vid0020,9.209,12111.9,480,7.35,84.47
vid0020,9.209,12111.9,720,11.23,95.57
vid0020,9.209,12111.9,1080,14.04,100.0
vid0021,7.841,11866.0,144,1.49,11.51
vid0021,7.841,11866.0,240,3.16,39.94
vid0021,7.841,11866.0,288,3.75,54.25
vid0021,7.841,11866.0,360,4.34,68.56
vid0021,7.841,11866.0,480,6.64,82.83
vid0021,7.841,11866.0,720,10.36,95.38
vid0021,7.841,11866.0,1080,12.95,100.0
vid0022,7.374,11307.4,144,1.38,24.84
vid0022,7.374,11307.4,240,2.91,55.8
vid0022,7.374,11307.4,288,3.37,68.57
vid0022,7.374,11307.4,360,3.83,81.34
vid0022,7.374,11307.4,480,5.86,93.69
vid0022,7.374,11307.4,720,9.06,99.17
vid0022,7.374,11307.4,1080,11.32,100.0
vid0023,8.809,8259.7,144,1.55,12.44
vid0023,8.809,8259.7,240,3.35,40.97
vid0023,8.809,8259.7,288,3.97,53.73
vid0023,8.809,8259.7,360,4.59,66.5
vid0023,8.809,8259.7,480,7.0,79.78
vid0023,8.809,8259.7,720,10.49,91.61
vid0023,8.809,8259.7,1080,13.11,100.0
vid0024,9.142,10427.4,144,1.64,10.52
vid0024,9.142,10427.4,240,3.63,39.07
vid0024,9.142,10427.4,288,4.29,53.66
vid0024,9.142,10427.4,360,4.94,68.25
vid0024,9.142,10427.4,480,7.33,82.36
vid0024,9.142,10427.4,720,11.09,94.04
vid0024,9.142,10427.4,1080,13.86,100.0
vid0025,8.742,11097.4,144,1.58,13.14
vid0025,8.742,11097.4,240,3.46,39.66
vid0025,8.742,11097.4,288,4.07,54.47
vid0025,8.742,11097.4,360,4.69,69.28
vid0025,8.742,11097.4,480,7.14,83.79
vid0025,8.742,11097.4,720,10.9,93.45
vid0025,8.742,11097.4,1080,13.62,100.0
vid0026,9.81,11018.5,144,1.78,10.12
vid0026,9.81,11018.5,240,3.9,36.4
vid0026,9.81,11018.5,288,4.62,52.02
vid0026,9.81,11018.5,360,5.33,67.64
vid0026,9.81,11018.5,480,8.13,82.88
vid0026,9.81,11018.5,720,12.48,95.15
vid0026,9.81,11018.5,1080,15.6,100.0
vid0027,9.443,9807.7,144,1.62,10.01
vid0027,9.443,9807.7,240,3.61,39.52
vid0027,9.443,9807.7,288,4.28,54.31
vid0027,9.443,9807.7,360,4.95,69.11
vid0027,9.443,9807.7,480,7.38,82.68
vid0027,9.443,9807.7,720,11.12,93.66
vid0027,9.443,9807.7,1080,13.9,100.0
vid0028,8.475,8645.8,144,1.49,11.6
vid0028,8.475,8645.8,240,3.24,42.14
vid0028,8.475,8645.8,288,3.88,55.28
vid0028,8.475,8645.8,360,4.52,68.43
vid0028,8.475,8645.8,480,6.75,81.74
vid0028,8.475,8645.8,720,10.34,93.67
vid0028,8.475,8645.8,1080,12.92,100.0
vid0029,5.038,11329.4,144,1.04,16.58
vid0029,5.038,11329.4,240,2.16,43.52
vid0029,5.038,11329.4,288,2.52,57.0
vid0029,5.038,11329.4,360,2.89,70.48
vid0029,5.038,11329.4,480,4.31,83.31
vid0029,5.038,11329.4,720,6.68,95.01
vid0029,5.038,11329.4,1080,8.35,100.0
vid0030,5.439,11630.5,144,1.15,24.44
vid0030,5.439,11630.5,240,2.34,52.06
vid0030,5.439,11630.5,288,2.8,65.19
vid0030,5.439,11630.5,360,3.27,78.32
vid0030,5.439,11630.5,480,4.99,91.49
vid0030,5.439,11630.5,720,7.92,99.7
vid0030,5.439,11630.5,1080,9.9,100.0
vid0031,5.172,12732.2,144,1.08,15.57
vid0031,5.172,12732.2,240,2.18,45.39
vid0031,5.172,12732.2,288,2.58,60.4
vid0031,5.172,12732.2,360,2.98,75.41
vid0031,5.172,12732.2,480,4.49,90.06
vid0031,5.172,12732.2,720,7.11,98.29
vid0031,5.172,12732.2,1080,8.89,100.0
vid0032,7.14,9789.8,144,1.23,12.7
vid0032,7.14,9789.8,240,2.62,44.13
vid0032,7.14,9789.8,288,2.93,58.28
vid0032,7.14,9789.8,360,3.24,72.43
vid0032,7.14,9789.8,480,4.72,85.52
vid0032,7.14,9789.8,720,8.69,95.54
vid0032,7.14,9789.8,1080,10.86,100.0
vid0033,5.105,1412.7,144,0.71,11.92
vid0033,5.105,1412.7,240,1.51,45.34
vid0033,5.105,1412.7,288,1.56,57.64
vid0033,5.105,1412.7,360,1.61,69.94
vid0033,5.105,1412.7,480,2.08,81.92
vid0033,5.105,1412.7,720,1.88,91.26
vid0033,5.105,1412.7,1080,2.35,100.0
vid0034,8.483,11181.9,144,2.26,10.0
vid0034,8.483,11181.9,240,5.32,26.46
vid0034,8.483,11181.9,288,5.77,38.99
vid0034,8.483,11181.9,360,6.22,51.52
vid0034,8.483,11181.9,480,8.77,67.23
vid0034,8.483,11181.9,720,10.96,81.69
vid0034,8.483,11181.9,1080,13.7,100.0
vid0035,9.35,13204.9,144,2.56,10.0
vid0035,9.35,13204.9,240,5.98,25.26
vid0035,9.35,13204.9,288,6.48,37.53
vid0035,9.35,13204.9,360,6.98,49.8
vid0035,9.35,13204.9,480,9.89,64.81
vid0035,9.35,13204.9,720,12.75,79.63
vid0035,9.35,13204.9,1080,15.94,100.0
vid0036,5.817,12975.9,144,1.69,10.06
vid0036,5.817,12975.9,240,3.79,23.71
vid0036,5.817,12975.9,288,4.15,36.36
vid0036,5.817,12975.9,360,4.52,49.02
vid0036,5.817,12975.9,480,6.44,65.13
vid0036,5.817,12975.9,720,8.48,81.02
vid0036,5.817,12975.9,1080,10.6,100.0
vid0037,5.983,16424.7,144,1.86,10.2
vid0037,5.983,16424.7,240,4.14,29.71
vid0037,5.983,16424.7,288,4.57,41.48
vid0037,5.983,16424.7,360,5.01,53.25
vid0037,5.983,16424.7,480,7.26,66.6
vid0037,5.983,16424.7,720,10.09,81.14
vid0037,5.983,16424.7,1080,12.61,100.0
vid0038,8.0,16703.2,144,2.35,10.04
vid0038,8.0,16703.2,240,5.4,27.74
vid0038,8.0,16703.2,288,5.97,39.14
vid0038,8.0,16703.2,360,6.55,50.53
vid0038,8.0,16703.2,480,9.52,63.84
vid0038,8.0,16703.2,720,12.86,78.72
vid0038,8.0,16703.2,1080,16.08,100.0
vid0039,8.367,14312.8,144,2.36,10.06
vid0039,8.367,14312.8,240,5.49,28.64
vid0039,8.367,14312.8,288,5.98,40.3
vid0039,8.367,14312.8,360,6.47,51.96
vid0039,8.367,14312.8,480,9.36,65.1
vid0039,8.367,14312.8,720,12.36,79.47
vid0039,8.367,14312.8,1080,15.45,100.0
vid0040,8.017,12888.7,144,2.24,10.01
vid0040,8.017,12888.7,240,5.25,28.25
vid0040,8.017,12888.7,288,5.72,40.01
vid0040,8.017,12888.7,360,6.19,51.77
vid0040,8.017,12888.7,480,8.86,65.35
vid0040,8.017,12888.7,720,11.52,79.86
vid0040,8.017,12888.7,1080,14.4,100.0
vid0041,9.083,13419.2,144,2.57,10.01
vid0041,9.083,13419.2,240,5.92,26.5
vid0041,9.083,13419.2,288,6.53,38.22
vid0041,9.083,13419.2,360,7.14,49.94
vid0041,9.083,13419.2,480,10.32,63.56
vid0041,9.083,13419.2,720,13.71,78.82
vid0041,9.083,13419.2,1080,17.14,100.0
vid0042,7.2,12445.8,144,2.04,10.01
vid0042,7.2,12445.8,240,4.61,27.59
vid0042,7.2,12445.8,288,5.04,39.32
vid0042,7.2,12445.8,360,5.48,51.04
vid0042,7.2,12445.8,480,7.85,64.28
vid0042,7.2,12445.8,720,10.3,78.91
vid0042,7.2,12445.8,1080,12.88,100.0
vid0043,7.45,13416.1,144,2.17,10.09
vid0043,7.45,13416.1,240,4.96,28.84
vid0043,7.45,13416.1,288,5.48,40.62
vid0043,7.45,13416.1,360,6.0,52.39
vid0043,7.45,13416.1,480,8.62,65.96
vid0043,7.45,13416.1,720,11.75,80.6
vid0043,7.45,13416.1,1080,14.69,100.0
vid0044,7.383,15344.9,144,2.16,10.07
vid0044,7.383,15344.9,240,4.97,26.89
vid0044,7.383,15344.9,288,5.45,38.53
vid0044,7.383,15344.9,360,5.93,50.17
vid0044,7.383,15344.9,480,8.75,63.74
vid0044,7.383,15344.9,720,11.78,78.98
vid0044,7.383,15344.9,1080,14.72,100.0
vid0045,6.65,12610.5,144,1.9,10.11
vid0045,6.65,12610.5,240,4.37,27.17
